iter	Passed	Remaining
670	13053	6400
671	13075	6382
672	13098	6364
673	13121	6346
674	13143	6328
675	13164	6309
676	13188	6292
677	13210	6274
678	13236	6257
679	13258	6239
680	13281	6221
681	13305	6203
682	13327	6185
683	13350	6167
684	13375	6150
685	13399	6133
686	13430	6118
687	13461	6104
688	13494	6091
689	13517	6072
690	13539	6054
691	13561	6036
692	13594	6022
693	13617	6004
694	13643	5987
695	13665	5968
696	13687	5950
697	13712	5933
698	13743	5918
699	13766	5899
700	13791	5882
701	13816	5865
702	13845	5849
703	13871	5832
704	13896	5815
705	13919	5796
706	13941	5777
707	13962	5758
708	13985	5739
709	14005	5720
710	14033	5704
711	14056	5685
712	14077	5666
713	14101	5648
714	14123	5629
715	14144	5610
716	14166	5591
717	14211	5581
718	14237	5564
719	14262	5546
720	14284	5527
721	14307	5509
722	14330	5490
723	14350	5470
724	14376	5453
725	14401	5435
726	14424	5416
727	14447	5397
728	14469	5378
729	14490	5359
730	14512	5340
731	14534	5321
732	14556	5302
733	14578	5283
734	14599	5263
735	14622	5245
736	14645	5226
737	14672	5209
738	14697	5190
739	14722	5172
740	14746	5154
741	14769	5135
742	14791	5116
743	14814	5097
744	14835	5077
745	14858	5059
746	14879	5039
747	14910	5023
748	14934	5004
749	14955	4985
750	14980	4966
751	15003	4947
752	15025	4928
753	15047	4909
754	15069	4889
755	15091	4870
756	15113	4851
757	15135	4832
758	15158	4813
759	15180	4793
760	15204	4775
761	15229	4756
762	15252	4737
763	15274	4718
764	15297	4699
765	15320	4680
766	15342	4660
767	15365	4641
768	15390	4623
769	15412	4603
770	15437	4585
771	15460	4566
772	15483	4547
773	15508	4528
774	15531	4509
775	15554	4490
776	15575	4470
777	15597	4450
778	15619	4431
779	15640	4411
780	15662	4391
781	15683	4372
782	15705	4352
783	15732	4334
784	15754	4315
785	15778	4296
786	15800	4276
787	15823	4257
788	15846	4237
789	15868	4218
790	15889	4198
791	15911	4178
792	15934	4159
793	15958	4140
794	15981	4121
795	16004	4101
796	16026	4082
797	16049	4062
798	16071	4043
799	16093	4023
800	16116	4003
801	16140	3984
802	16173	3967
803	16212	3952
804	16240	3934
805	16263	3914
806	16284	3894
807	16306	3874
808	16328	3855
809	16351	3835
810	16371	3815
811	16394	3795
812	16416	3775
813	16440	3756
814	16461	3736
815	16486	3717
816	16510	3698
817	16536	3679
818	16557	3659
819	16579	3639
820	16601	3619
821	16623	3599
822	16645	3579
823	16668	3560
824	16698	3542
825	16728	3523
826	16751	3504
827	16773	3484
828	16795	3464
829	16817	3444
830	16838	3424
831	16861	3404
832	16882	3384
833	16905	3364
834	16927	3345
